Campaign_ID,Company,Campaigns,Channels,Acquisition_Cost,ROI,Performance_level,Clicks,Impressions,Conversions,Conversion_Rate,Engagement_Score,Customer_Segment,Gender,Age,Location,Started_day,Duration_days,End_day,Month,Month_fullname,Mon_name
162,DataTech Solutions,Social Media,YouTube,7893,5.28,Good,170,6306,12,0.07,9,Foodies,Men,18-24,Chicago,2021-06-11,30,2021-07-11,6,June,Jun
163,TechCorp,Email,Google Ads,9858,3.09,Poor,957,4396,38,0.04,9,Tech Enthusiasts,Women,25-34,Los Angeles,2021-06-12,15,2021-06-27,6,June,Jun
164,NexGen Systems,Influencer,Email,6885,7.65,Excellent,872,3269,78,0.09,1,Tech Enthusiasts,Women,35-44,Houston,2021-06-13,30,2021-07-13,6,June,Jun
165,TechCorp,Email,Email,11587,3.17,Poor,716,2676,50,0.07,9,Foodies,Men,25-34,Houston,2021-06-14,30,2021-07-14,6,June,Jun
166,NexGen Systems,Email,Facebook,5202,5.94,Good,998,5108,150,0.15,3,Fashionistas,Both,All ages,New York,2021-06-15,30,2021-07-15,6,June,Jun
167,Innovate Industries,Search,Instagram,15651,7.24,Excellent,481,4165,38,0.08,7,Tech Enthusiasts,Men,18-24,Los Angeles,2021-06-16,15,2021-07-01,6,June,Jun
168,NexGen Systems,Display,Website,11879,8.0,Excellent,568,4997,68,0.12,6,Outdoor Adventurers,Both,All ages,New York,2021-06-17,30,2021-07-17,6,June,Jun
169,TechCorp,Influencer,Email,12183,4.36,Good,421,6087,13,0.03,10,Tech Enthusiasts,Women,25-34,Los Angeles,2021-06-18,60,2021-08-17,6,June,Jun
170,TechCorp,Search,Google Ads,10690,5.41,Good,797,1306,56,0.07,9,Foodies,Both,All ages,Los Angeles,2021-06-19,30,2021-07-19,6,June,Jun
171,TechCorp,Social Media,Website,12886,4.62,Good,668,2507,40,0.06,8,Foodies,Men,25-34,Miami,2021-06-20,30,2021-07-20,6,June,Jun
172,Innovate Industries,Influencer,Google Ads,10854,6.1,Good,303,9453,27,0.09,2,Health & Wellness,Men,25-34,Houston,2021-06-21,15,2021-07-06,6,June,Jun
173,DataTech Solutions,Influencer,YouTube,7170,3.76,Poor,540,6422,59,0.11,8,Foodies,Both,All ages,Los Angeles,2021-06-22,15,2021-07-07,6,June,Jun
174,Innovate Industries,Display,Google Ads,17414,6.9,Good,801,8439,120,0.15,5,Foodies,Men,25-34,Los Angeles,2021-06-23,45,2021-08-07,6,June,Jun
175,Innovate Industries,Search,Instagram,12272,5.29,Good,436,7817,44,0.1,7,Outdoor Adventurers,Men,18-24,Los Angeles,2021-06-24,15,2021-07-09,6,June,Jun
176,Innovate Industries,Social Media,Website,6489,2.22,Poor,683,9143,61,0.09,6,Foodies,Both,All ages,Chicago,2021-06-25,15,2021-07-10,6,June,Jun
177,Innovate Industries,Display,YouTube,19732,6.06,Good,862,6773,69,0.08,1,Tech Enthusiasts,Women,35-44,Chicago,2021-06-26,60,2021-08-25,6,June,Jun
178,Alpha Innovations,Social Media,YouTube,17837,3.84,Poor,944,9536,85,0.09,6,Foodies,Both,All ages,Houston,2021-06-27,45,2021-08-11,6,June,Jun
179,Innovate Industries,Display,Email,11954,4.91,Good,241,9184,31,0.13,8,Foodies,Both,All ages,Miami,2021-06-28,45,2021-08-12,6,June,Jun
180,Alpha Innovations,Display,Google Ads,16862,6.29,Good,200,1513,2,0.01,9,Tech Enthusiasts,Women,35-44,Chicago,2021-06-29,30,2021-07-29,6,June,Jun
181,TechCorp,Display,Email,8076,4.29,Good,883,3400,62,0.07,8,Fashionistas,Both,All ages,New York,2021-06-30,45,2021-08-14,6,June,Jun
182,DataTech Solutions,Influencer,Facebook,19143,2.58,Poor,690,1087,41,0.06,7,Tech Enthusiasts,Women,35-44,Los Angeles,2021-07-01,15,2021-07-16,7,July,Jul
183,TechCorp,Influencer,Instagram,18350,3.2,Poor,372,3266,22,0.06,4,Health & Wellness,Women,35-44,New York,2021-07-02,15,2021-07-17,7,July,Jul
184,DataTech Solutions,Social Media,Email,12315,3.97,Poor,505,4099,30,0.06,7,Fashionistas,Men,18-24,Chicago,2021-07-03,45,2021-08-17,7,July,Jul
185,NexGen Systems,Influencer,Instagram,17598,7.27,Excellent,961,8475,135,0.14,7,Outdoor Adventurers,Men,25-34,Chicago,2021-07-04,15,2021-07-19,7,July,Jul
186,TechCorp,Email,Instagram,19545,2.57,Poor,209,1917,10,0.05,1,Health & Wellness,Women,35-44,Houston,2021-07-05,30,2021-08-04,7,July,Jul
187,NexGen Systems,Email,Email,14231,6.28,Good,312,8509,41,0.13,3,Health & Wellness,Men,25-34,Chicago,2021-07-06,60,2021-09-04,7,July,Jul
188,Alpha Innovations,Influencer,Instagram,15162,7.8,Excellent,360,6030,40,0.11,8,Tech Enthusiasts,Women,25-34,Chicago,2021-07-07,30,2021-08-06,7,July,Jul
189,DataTech Solutions,Social Media,Email,15403,6.21,Good,542,6792,65,0.12,6,Foodies,Women,25-34,Houston,2021-07-08,15,2021-07-23,7,July,Jul
190,Innovate Industries,Influencer,Email,5363,5.46,Good,369,8511,22,0.06,8,Tech Enthusiasts,Both,All ages,Chicago,2021-07-09,15,2021-07-24,7,July,Jul
191,DataTech Solutions,Social Media,Website,13903,2.46,Poor,461,9733,55,0.12,9,Tech Enthusiasts,Women,35-44,Chicago,2021-07-10,60,2021-09-08,7,July,Jul
192,TechCorp,Influencer,Facebook,14271,5.64,Good,842,2301,101,0.12,1,Health & Wellness,Men,25-34,New York,2021-07-11,45,2021-08-25,7,July,Jul
193,DataTech Solutions,Social Media,Google Ads,13744,4.7,Good,743,5155,37,0.05,5,Fashionistas,Men,25-34,Miami,2021-07-12,30,2021-08-11,7,July,Jul
194,NexGen Systems,Email,Google Ads,6093,4.28,Good,423,1340,42,0.1,7,Foodies,Both,All ages,New York,2021-07-13,15,2021-07-28,7,July,Jul
195,DataTech Solutions,Email,Email,5272,3.62,Poor,939,9590,66,0.07,9,Foodies,Both,All ages,Chicago,2021-07-14,45,2021-08-28,7,July,Jul
196,DataTech Solutions,Display,YouTube,6208,7.31,Excellent,257,9939,5,0.02,8,Health & Wellness,Women,35-44,Houston,2021-07-15,30,2021-08-14,7,July,Jul
197,Innovate Industries,Influencer,Email,15437,3.72,Poor,683,4212,68,0.1,6,Tech Enthusiasts,Women,25-34,Los Angeles,2021-07-16,45,2021-08-30,7,July,Jul
198,DataTech Solutions,Display,Instagram,16368,4.37,Good,433,8942,4,0.01,5,Tech Enthusiasts,Men,18-24,Los Angeles,2021-07-17,15,2021-08-01,7,July,Jul
199,Innovate Industries,Influencer,Email,10939,4.79,Good,146,1404,20,0.14,3,Outdoor Adventurers,Men,18-24,Miami,2021-07-18,45,2021-09-01,7,July,Jul
200,TechCorp,Influencer,Google Ads,16312,2.63,Poor,117,4406,2,0.02,7,Outdoor Adventurers,Men,25-34,Chicago,2021-07-19,30,2021-08-18,7,July,Jul
201,Innovate Industries,Search,Facebook,9518,4.22,Good,324,8445,29,0.09,6,Tech Enthusiasts,Women,35-44,Houston,2021-07-20,60,2021-09-18,7,July,Jul
202,DataTech Solutions,Influencer,Instagram,16258,5.83,Good,317,2305,41,0.13,10,Foodies,Women,35-44,Chicago,2021-07-21,45,2021-09-04,7,July,Jul
203,DataTech Solutions,Display,Email,7176,7.27,Excellent,472,7157,47,0.1,10,Tech Enthusiasts,Both,All ages,Los Angeles,2021-07-22,30,2021-08-21,7,July,Jul
204,TechCorp,Influencer,Google Ads,14405,7.51,Excellent,896,7502,134,0.15,9,Foodies,Men,18-24,Los Angeles,2021-07-23,45,2021-09-06,7,July,Jul
205,DataTech Solutions,Influencer,Email,13293,7.49,Excellent,132,1159,15,0.11,10,Foodies,Women,35-44,Chicago,2021-07-24,45,2021-09-07,7,July,Jul
206,Innovate Industries,Email,Website,14318,3.69,Poor,210,2135,25,0.12,3,Tech Enthusiasts,Men,18-24,Miami,2021-07-25,15,2021-08-09,7,July,Jul
207,TechCorp,Social Media,Instagram,8772,6.29,Good,209,6176,10,0.05,6,Health & Wellness,Women,25-34,New York,2021-07-26,60,2021-09-24,7,July,Jul
208,DataTech Solutions,Display,Google Ads,12864,2.87,Poor,280,2676,31,0.11,7,Health & Wellness,Women,25-34,Los Angeles,2021-07-27,45,2021-09-10,7,July,Jul
209,NexGen Systems,Display,Google Ads,17562,3.66,Poor,308,6903,34,0.11,7,Health & Wellness,Both,All ages,Chicago,2021-07-28,15,2021-08-12,7,July,Jul
210,Innovate Industries,Display,Email,17461,2.81,Poor,554,8096,44,0.08,10,Health & Wellness,Both,All ages,Los Angeles,2021-07-29,45,2021-09-12,7,July,Jul
211,DataTech Solutions,Search,Website,19366,7.94,Excellent,868,8919,69,0.08,10,Health & Wellness,Women,35-44,Chicago,2021-07-30,30,2021-08-29,7,July,Jul
212,NexGen Systems,Social Media,Instagram,6907,2.39,Poor,376,1503,8,0.02,5,Foodies,Both,All ages,Houston,2021-07-31,30,2021-08-30,7,July,Jul
213,DataTech Solutions,Social Media,Email,16540,2.72,Poor,264,3516,40,0.15,2,Foodies,Women,25-34,Houston,2021-08-01,45,2021-09-15,8,August,Aug
214,TechCorp,Display,Email,5020,7.67,Excellent,773,3130,39,0.05,5,Health & Wellness,Both,All ages,Chicago,2021-08-02,60,2021-10-01,8,August,Aug
215,Alpha Innovations,Influencer,YouTube,13697,2.79,Poor,999,2557,60,0.06,3,Health & Wellness,Women,25-34,Los Angeles,2021-08-03,45,2021-09-17,8,August,Aug
216,Alpha Innovations,Social Media,Email,19308,4.39,Good,726,6296,102,0.14,5,Health & Wellness,Women,25-34,New York,2021-08-04,30,2021-09-03,8,August,Aug
217,NexGen Systems,Search,Google Ads,13185,6.06,Good,614,9971,68,0.11,10,Fashionistas,Women,35-44,Houston,2021-08-05,30,2021-09-04,8,August,Aug
218,DataTech Solutions,Email,Instagram,15880,5.85,Good,967,9549,48,0.05,5,Tech Enthusiasts,Men,18-24,Los Angeles,2021-08-06,15,2021-08-21,8,August,Aug
219,TechCorp,Search,Email,13524,3.91,Poor,167,9596,13,0.08,10,Foodies,Women,25-34,Los Angeles,2021-08-07,15,2021-08-22,8,August,Aug
220,Innovate Industries,Influencer,Email,10536,8.0,Excellent,924,3584,28,0.03,10,Fashionistas,Both,All ages,New York,2021-08-08,15,2021-08-23,8,August,Aug
221,Alpha Innovations,Email,Email,5941,6.73,Good,715,8580,14,0.02,2,Tech Enthusiasts,Men,18-24,Miami,2021-08-09,15,2021-08-24,8,August,Aug
222,Alpha Innovations,Email,Instagram,12239,2.98,Poor,198,8847,18,0.09,2,Foodies,Men,25-34,Los Angeles,2021-08-10,15,2021-08-25,8,August,Aug
223,DataTech Solutions,Search,Facebook,11973,5.36,Good,240,5611,10,0.04,6,Fashionistas,Women,25-34,Los Angeles,2021-08-11,30,2021-09-10,8,August,Aug
224,TechCorp,Display,Google Ads,5697,7.76,Excellent,285,3131,29,0.1,1,Foodies,Women,35-44,Miami,2021-08-12,15,2021-08-27,8,August,Aug
225,DataTech Solutions,Email,Instagram,6388,6.8,Good,159,4073,19,0.12,7,Outdoor Adventurers,Men,25-34,Houston,2021-08-13,30,2021-09-12,8,August,Aug
226,NexGen Systems,Influencer,Facebook,10330,2.83,Poor,153,5056,23,0.15,1,Foodies,Women,35-44,Houston,2021-08-14,60,2021-10-13,8,August,Aug
227,Innovate Industries,Email,Instagram,5429,6.93,Good,423,7289,34,0.08,1,Foodies,Men,18-24,Los Angeles,2021-08-15,45,2021-09-29,8,August,Aug
228,TechCorp,Influencer,Google Ads,16318,5.39,Good,660,1268,99,0.15,1,Health & Wellness,Men,25-34,Chicago,2021-08-16,45,2021-09-30,8,August,Aug
229,Innovate Industries,Search,Website,10475,6.46,Good,111,8357,9,0.08,6,Tech Enthusiasts,Men,25-34,Los Angeles,2021-08-17,60,2021-10-16,8,August,Aug
230,Alpha Innovations,Search,Instagram,14610,5.38,Good,820,5111,16,0.02,4,Fashionistas,Women,35-44,Los Angeles,2021-08-18,30,2021-09-17,8,August,Aug
231,DataTech Solutions,Email,Facebook,9636,5.08,Good,935,6946,94,0.1,2,Fashionistas,Women,35-44,New York,2021-08-19,15,2021-09-03,8,August,Aug
232,NexGen Systems,Email,Google Ads,11450,2.89,Poor,685,7667,34,0.05,6,Fashionistas,Women,25-34,New York,2021-08-20,60,2021-10-19,8,August,Aug
233,DataTech Solutions,Email,Facebook,14372,4.26,Good,703,6178,14,0.02,2,Tech Enthusiasts,Women,35-44,Houston,2021-08-21,60,2021-10-20,8,August,Aug
234,Innovate Industries,Search,Website,15105,5.61,Good,366,8306,15,0.04,1,Fashionistas,Men,25-34,Chicago,2021-08-22,60,2021-10-21,8,August,Aug
235,Alpha Innovations,Display,Facebook,10319,7.47,Excellent,409,4851,29,0.07,6,Outdoor Adventurers,Men,25-34,Chicago,2021-08-23,15,2021-09-07,8,August,Aug
236,TechCorp,Search,Google Ads,5220,4.79,Good,662,8586,26,0.04,2,Fashionistas,Women,25-34,New York,2021-08-24,45,2021-10-08,8,August,Aug
237,NexGen Systems,Search,Email,15820,5.12,Good,240,6283,34,0.14,9,Health & Wellness,Men,18-24,Chicago,2021-08-25,30,2021-09-24,8,August,Aug
238,Innovate Industries,Display,Website,18076,3.13,Poor,320,5064,3,0.01,6,Fashionistas,Men,18-24,New York,2021-08-26,60,2021-10-25,8,August,Aug
239,Innovate Industries,Social Media,Email,18074,5.99,Good,587,4909,47,0.08,5,Outdoor Adventurers,Women,25-34,Chicago,2021-08-27,60,2021-10-26,8,August,Aug
240,Alpha Innovations,Email,Google Ads,6676,5.75,Good,119,6702,12,0.1,7,Tech Enthusiasts,Women,35-44,Los Angeles,2021-08-28,60,2021-10-27,8,August,Aug
241,Innovate Industries,Display,Email,19928,4.24,Good,116,3794,7,0.06,4,Foodies,Women,25-34,Miami,2021-08-29,45,2021-10-13,8,August,Aug
242,NexGen Systems,Search,Google Ads,14322,5.66,Good,872,8759,96,0.11,2,Fashionistas,Women,25-34,New York,2021-08-30,60,2021-10-29,8,August,Aug
243,Alpha Innovations,Influencer,Website,19463,3.02,Poor,970,8060,97,0.1,3,Tech Enthusiasts,Men,18-24,Miami,2021-08-31,60,2021-10-30,8,August,Aug
244,Alpha Innovations,Influencer,Google Ads,12616,5.23,Good,864,1054,112,0.13,6,Fashionistas,Men,25-34,New York,2021-09-01,45,2021-10-16,9,September,Sep
245,DataTech Solutions,Influencer,Website,14856,2.05,Poor,597,2672,72,0.12,3,Fashionistas,Women,25-34,Chicago,2021-09-02,30,2021-10-02,9,September,Sep
246,DataTech Solutions,Display,Instagram,19347,3.49,Poor,993,5113,139,0.14,2,Tech Enthusiasts,Men,18-24,Houston,2021-09-03,15,2021-09-18,9,September,Sep
247,DataTech Solutions,Social Media,Google Ads,14124,6.53,Good,967,4832,145,0.15,8,Health & Wellness,Men,25-34,New York,2021-09-04,15,2021-09-19,9,September,Sep
248,DataTech Solutions,Social Media,Google Ads,9761,3.26,Poor,350,4327,53,0.15,10,Outdoor Adventurers,Women,25-34,Chicago,2021-09-05,45,2021-10-20,9,September,Sep
249,DataTech Solutions,Social Media,Google Ads,5575,3.42,Poor,324,2310,32,0.1,6,Foodies,Women,35-44,Houston,2021-09-06,30,2021-10-06,9,September,Sep
250,Alpha Innovations,Display,Email,15120,5.25,Good,897,1928,117,0.13,7,Fashionistas,Both,All ages,Chicago,2021-09-07,15,2021-09-22,9,September,Sep
251,Innovate Industries,Display,Website,16108,2.15,Poor,162,7983,16,0.1,7,Fashionistas,Women,25-34,New York,2021-09-08,45,2021-10-23,9,September,Sep
252,Innovate Industries,Display,Email,6459,5.33,Good,949,7441,28,0.03,4,Outdoor Adventurers,Men,18-24,Houston,2021-09-09,60,2021-11-08,9,September,Sep
253,Alpha Innovations,Search,Email,16937,4.24,Good,154,7455,12,0.08,9,Tech Enthusiasts,Both,All ages,Houston,2021-09-10,30,2021-10-10,9,September,Sep
254,Innovate Industries,Influencer,Facebook,11092,4.55,Good,735,7035,51,0.07,7,Foodies,Women,35-44,Los Angeles,2021-09-11,60,2021-11-10,9,September,Sep
255,Innovate Industries,Social Media,Facebook,6772,5.55,Good,341,9370,17,0.05,2,Fashionistas,Women,35-44,New York,2021-09-12,30,2021-10-12,9,September,Sep
256,NexGen Systems,Influencer,YouTube,7331,2.27,Poor,222,7421,18,0.08,7,Health & Wellness,Men,25-34,Miami,2021-09-13,30,2021-10-13,9,September,Sep
257,Innovate Industries,Display,YouTube,16189,6.92,Good,841,9783,17,0.02,7,Foodies,Men,25-34,New York,2021-09-14,45,2021-10-29,9,September,Sep
258,Innovate Industries,Display,Instagram,11003,7.63,Excellent,986,6349,59,0.06,3,Fashionistas,Women,35-44,Miami,2021-09-15,30,2021-10-15,9,September,Sep
259,NexGen Systems,Social Media,Google Ads,7726,7.64,Excellent,314,4021,22,0.07,4,Tech Enthusiasts,Men,25-34,Houston,2021-09-16,15,2021-10-01,9,September,Sep
260,Innovate Industries,Search,Website,15424,2.56,Poor,838,9611,25,0.03,6,Tech Enthusiasts,Men,25-34,New York,2021-09-17,30,2021-10-17,9,September,Sep
261,Alpha Innovations,Display,Instagram,13154,5.69,Good,394,7139,16,0.04,2,Health & Wellness,Men,18-24,Chicago,2021-09-18,45,2021-11-02,9,September,Sep
262,Alpha Innovations,Email,Google Ads,9005,3.35,Poor,536,7663,21,0.04,4,Foodies,Men,18-24,Los Angeles,2021-09-19,60,2021-11-18,9,September,Sep
263,TechCorp,Search,Google Ads,13481,6.44,Good,143,5377,17,0.12,8,Tech Enthusiasts,Both,All ages,Chicago,2021-09-20,30,2021-10-20,9,September,Sep
264,TechCorp,Social Media,Email,9957,3.16,Poor,426,4894,21,0.05,10,Health & Wellness,Men,18-24,Houston,2021-09-21,45,2021-11-05,9,September,Sep
265,DataTech Solutions,Social Media,Facebook,12840,3.29,Poor,295,9944,21,0.07,9,Foodies,Women,25-34,Houston,2021-09-22,45,2021-11-06,9,September,Sep
266,Alpha Innovations,Display,Website,18572,7.1,Excellent,661,8775,46,0.07,2,Foodies,Both,All ages,Chicago,2021-09-23,30,2021-10-23,9,September,Sep
267,NexGen Systems,Social Media,Website,7981,4.52,Good,441,9476,31,0.07,7,Outdoor Adventurers,Men,18-24,Houston,2021-09-24,15,2021-10-09,9,September,Sep
268,TechCorp,Search,Google Ads,13134,7.66,Excellent,983,3980,29,0.03,4,Outdoor Adventurers,Women,25-34,Houston,2021-09-25,30,2021-10-25,9,September,Sep
269,Alpha Innovations,Email,Email,17232,3.77,Poor,354,9225,32,0.09,3,Health & Wellness,Women,25-34,Houston,2021-09-26,45,2021-11-10,9,September,Sep
270,Alpha Innovations,Social Media,Google Ads,18883,3.54,Poor,570,9730,17,0.03,9,Fashionistas,Men,18-24,New York,2021-09-27,45,2021-11-11,9,September,Sep
271,Innovate Industries,Display,Instagram,14168,3.39,Poor,676,4287,20,0.03,1,Health & Wellness,Men,25-34,New York,2021-09-28,15,2021-10-13,9,September,Sep
272,Innovate Industries,Search,Email,8078,4.65,Good,741,5040,67,0.09,2,Foodies,Men,25-34,Miami,2021-09-29,30,2021-10-29,9,September,Sep
273,TechCorp,Search,Instagram,19023,7.62,Excellent,274,4451,16,0.06,7,Tech Enthusiasts,Women,35-44,Los Angeles,2021-09-30,15,2021-10-15,9,September,Sep
274,DataTech Solutions,Social Media,Facebook,12970,7.25,Excellent,860,6750,69,0.08,6,Foodies,Both,All ages,Los Angeles,2021-10-01,45,2021-11-15,10,October,Oct
275,Alpha Innovations,Influencer,Email,8786,7.56,Excellent,397,6102,24,0.06,8,Foodies,Women,35-44,Houston,2021-10-02,60,2021-12-01,10,October,Oct
276,NexGen Systems,Influencer,Google Ads,14623,3.05,Poor,449,7339,31,0.07,1,Fashionistas,Both,All ages,Los Angeles,2021-10-03,60,2021-12-02,10,October,Oct
277,DataTech Solutions,Email,Instagram,6326,5.2,Good,461,7818,37,0.08,2,Health & Wellness,Men,25-34,Miami,2021-10-04,15,2021-10-19,10,October,Oct
278,DataTech Solutions,Email,Website,18728,5.48,Good,831,9026,25,0.03,10,Health & Wellness,Both,All ages,Houston,2021-10-05,30,2021-11-04,10,October,Oct
279,DataTech Solutions,Email,Email,12494,7.56,Excellent,631,9863,88,0.14,10,Fashionistas,Men,18-24,Miami,2021-10-06,30,2021-11-05,10,October,Oct
280,NexGen Systems,Display,Instagram,11640,6.62,Good,560,1229,11,0.02,8,Health & Wellness,Men,25-34,Los Angeles,2021-10-07,60,2021-12-06,10,October,Oct
281,NexGen Systems,Search,Instagram,8340,3.9,Poor,570,8066,6,0.01,5,Health & Wellness,Women,25-34,Houston,2021-10-08,60,2021-12-07,10,October,Oct
282,Alpha Innovations,Display,Email,10909,6.21,Good,921,2726,101,0.11,2,Outdoor Adventurers,Women,25-34,Los Angeles,2021-10-09,60,2021-12-08,10,October,Oct
283,DataTech Solutions,Email,YouTube,12008,3.01,Poor,262,8773,13,0.05,5,Tech Enthusiasts,Both,All ages,New York,2021-10-10,60,2021-12-09,10,October,Oct
284,NexGen Systems,Email,Instagram,15178,7.68,Excellent,294,9365,44,0.15,4,Health & Wellness,Women,25-34,Chicago,2021-10-11,45,2021-11-25,10,October,Oct
285,Innovate Industries,Search,YouTube,8493,6.92,Good,257,7802,5,0.02,1,Health & Wellness,Women,35-44,Houston,2021-10-12,30,2021-11-11,10,October,Oct
286,TechCorp,Email,YouTube,11813,6.03,Good,441,6520,26,0.06,6,Fashionistas,Women,35-44,Miami,2021-10-13,45,2021-11-27,10,October,Oct
287,Alpha Innovations,Influencer,Instagram,11491,7.08,Excellent,433,8276,61,0.14,7,Outdoor Adventurers,Both,All ages,Chicago,2021-10-14,45,2021-11-28,10,October,Oct
288,Innovate Industries,Email,Google Ads,13976,5.28,Good,554,8163,28,0.05,4,Outdoor Adventurers,Men,18-24,Chicago,2021-10-15,60,2021-12-14,10,October,Oct
289,Alpha Innovations,Search,Google Ads,6300,4.47,Good,704,4780,14,0.02,4,Outdoor Adventurers,Men,25-34,Houston,2021-10-16,30,2021-11-15,10,October,Oct
290,TechCorp,Search,Instagram,9263,5.88,Good,399,8595,16,0.04,4,Health & Wellness,Women,35-44,Houston,2021-10-17,60,2021-12-16,10,October,Oct
291,DataTech Solutions,Display,Facebook,6609,2.27,Poor,664,4193,33,0.05,4,Foodies,Men,25-34,New York,2021-10-18,15,2021-11-02,10,October,Oct
292,Innovate Industries,Search,Website,5037,4.3,Good,784,9745,31,0.04,1,Tech Enthusiasts,Women,35-44,Los Angeles,2021-10-19,60,2021-12-18,10,October,Oct
293,Innovate Industries,Email,Facebook,18537,2.25,Poor,697,5523,28,0.04,6,Outdoor Adventurers,Men,25-34,Chicago,2021-10-20,15,2021-11-04,10,October,Oct
294,TechCorp,Social Media,Website,14238,4.53,Good,552,1050,66,0.12,6,Foodies,Women,25-34,New York,2021-10-21,30,2021-11-20,10,October,Oct
295,DataTech Solutions,Display,Website,14949,2.09,Poor,200,2467,10,0.05,8,Tech Enthusiasts,Men,18-24,Los Angeles,2021-10-22,60,2021-12-21,10,October,Oct
296,Innovate Industries,Influencer,YouTube,6243,5.09,Good,924,5798,55,0.06,8,Health & Wellness,Women,25-34,Houston,2021-10-23,45,2021-12-07,10,October,Oct
297,Alpha Innovations,Display,Instagram,12470,7.2,Excellent,247,4962,12,0.05,10,Outdoor Adventurers,Both,All ages,Los Angeles,2021-10-24,30,2021-11-23,10,October,Oct
298,TechCorp,Display,Google Ads,14236,5.67,Good,801,3054,48,0.06,4,Fashionistas,Men,25-34,Chicago,2021-10-25,15,2021-11-09,10,October,Oct
299,DataTech Solutions,Display,Email,18677,3.71,Poor,334,1647,7,0.02,1,Foodies,Men,25-34,Los Angeles,2021-10-26,60,2021-12-25,10,October,Oct
300,Innovate Industries,Social Media,Email,17986,7.99,Excellent,199,8846,12,0.06,10,Tech Enthusiasts,Both,All ages,Chicago,2021-10-27,60,2021-12-26,10,October,Oct
301,Alpha Innovations,Social Media,Google Ads,11553,6.05,Good,420,3838,29,0.07,1,Health & Wellness,Women,25-34,New York,2021-10-28,15,2021-11-12,10,October,Oct
302,Alpha Innovations,Display,Website,10856,6.46,Good,406,6117,8,0.02,6,Fashionistas,Women,25-34,Houston,2021-10-29,60,2021-12-28,10,October,Oct
303,Innovate Industries,Email,Google Ads,14564,6.35,Good,771,3901,93,0.12,2,Foodies,Men,18-24,Houston,2021-10-30,30,2021-11-29,10,October,Oct
304,TechCorp,Email,Facebook,7215,6.82,Good,586,7959,18,0.03,2,Health & Wellness,Men,25-34,New York,2021-10-31,30,2021-11-30,10,October,Oct
305,DataTech Solutions,Search,Google Ads,14291,2.94,Poor,872,6875,87,0.1,7,Tech Enthusiasts,Women,25-34,Los Angeles,2021-11-01,15,2021-11-16,11,November,Nov
306,DataTech Solutions,Display,YouTube,5189,4.71,Good,845,2395,76,0.09,9,Health & Wellness,Men,18-24,Miami,2021-11-02,15,2021-11-17,11,November,Nov
307,Alpha Innovations,Display,YouTube,8249,6.02,Good,566,9149,17,0.03,10,Tech Enthusiasts,Women,25-34,New York,2021-11-03,30,2021-12-03,11,November,Nov
308,Innovate Industries,Email,Facebook,14830,7.55,Excellent,858,8551,120,0.14,1,Tech Enthusiasts,Men,18-24,Los Angeles,2021-11-04,45,2021-12-19,11,November,Nov
309,Innovate Industries,Display,Website,5187,5.4,Good,254,2409,25,0.1,8,Health & Wellness,Women,35-44,Miami,2021-11-05,30,2021-12-05,11,November,Nov
310,NexGen Systems,Display,Website,6813,5.59,Good,803,2031,96,0.12,3,Foodies,Both,All ages,Houston,2021-11-06,30,2021-12-06,11,November,Nov
311,Innovate Industries,Search,Instagram,15776,3.0,Poor,325,5452,13,0.04,3,Outdoor Adventurers,Both,All ages,Houston,2021-11-07,60,2022-01-06,11,November,Nov
312,Innovate Industries,Social Media,Instagram,7059,2.34,Poor,695,4167,42,0.06,4,Tech Enthusiasts,Men,18-24,Los Angeles,2021-11-08,15,2021-11-23,11,November,Nov
313,DataTech Solutions,Influencer,Instagram,5829,7.9,Excellent,195,8154,21,0.11,9,Tech Enthusiasts,Women,25-34,Chicago,2021-11-09,45,2021-12-24,11,November,Nov
314,TechCorp,Display,Google Ads,8756,4.02,Good,513,6124,46,0.09,9,Health & Wellness,Both,All ages,Houston,2021-11-10,45,2021-12-25,11,November,Nov
315,TechCorp,Email,Website,13515,5.54,Good,645,1813,90,0.14,2,Health & Wellness,Both,All ages,Los Angeles,2021-11-11,60,2022-01-10,11,November,Nov
316,NexGen Systems,Social Media,Website,11573,3.89,Poor,439,1258,44,0.1,1,Foodies,Women,35-44,Chicago,2021-11-12,60,2022-01-11,11,November,Nov
317,NexGen Systems,Social Media,Instagram,18073,4.1,Good,737,7217,15,0.02,5,Outdoor Adventurers,Women,25-34,New York,2021-11-13,45,2021-12-28,11,November,Nov
318,Innovate Industries,Social Media,Website,10446,2.69,Poor,568,2153,34,0.06,8,Tech Enthusiasts,Men,18-24,Chicago,2021-11-14,45,2021-12-29,11,November,Nov
319,Innovate Industries,Influencer,Email,10042,4.24,Good,458,5007,69,0.15,7,Fashionistas,Women,25-34,Los Angeles,2021-11-15,45,2021-12-30,11,November,Nov
320,Alpha Innovations,Email,YouTube,16416,7.45,Excellent,233,6820,12,0.05,1,Fashionistas,Men,25-34,New York,2021-11-16,45,2021-12-31,11,November,Nov
321,TechCorp,Search,Email,15863,2.46,Poor,652,3790,85,0.13,8,Health & Wellness,Men,18-24,New York,2021-11-17,45,2022-01-01,11,November,Nov
322,DataTech Solutions,Display,Email,5720,3.2,Poor,568,5613,11,0.02,6,Foodies,Women,25-34,Chicago,2021-11-18,30,2021-12-18,11,November,Nov
